id,brand,domain,ccna_200_301_url,category,primary_deliverable,claimed_questions,claimed_last_update,free_tier,answers_public,pbq_in_browser,browser_only,signup_required,poll_enabled,site_note,bct_positioning_angle,research_date,notes
1,OpenExamPrep,open-exam-prep.com,https://open-exam-prep.com/practice/ccna,free_practice_platform,Web MCQ bank + AI tutor,200+,2026-06-06,Full bank free,Yes,No,Yes,No,Yes,[[sites/open-exam-prep-ccna|open-exam-prep-ccna]],"700+ BCT bank; CLI labs + D&D; v1.1 alignment; no signup for core quiz",2026-06-06,"Multi-cert hub; page cites v1.1 + 2026 stats; 10 static samples below interactive quiz"
2,ExamTopics,examtopics.com,https://www.examtopics.com/exams/cisco/200-301/,community_braindump,Free web Q&A (paid Pro),1395+ visible,2026-06-06,Free with limits,Community vote,No,Yes,No,Yes,[[sites/examtopics-ccna|examtopics-ccna]],"Ethical prep; Cisco-verified keys; no actual-exam recall positioning",2026-06-06,"Tier C research; last updated June 6 2026; also dump tracker overlap"
3,Mastery Exam Prep,masteryexamprep.com,https://masteryexamprep.com/exams/cisco/ccna/,practice_test_vendor,Public samples + paid IT Mastery bank,24 public / full bank paid,2026,Samples on landing,Yes (samples),No,Yes,Partial,Yes,[[sites/mastery-exam-prep-ccna|mastery-exam-prep-ccna]],"700+ included vs paywalled bulk; timed sim + portal modes",2026-06-06,"v2.0 domain weights on page; larger bank behind IT Mastery"
4,Crucial Exams,crucialexams.com,https://crucialexams.com/exams/cisco/ccna/200-301/practice-tests-practice-questions,practice_test_vendor,MCQ + PBQ + flashcards,530 MCQ + 7 PBQ,2026,Limited free tier,In product,Partial,Yes,Partial,No,[[sites/crucial-exams-ccna|crucial-exams-ccna]],"Free sim sample + domain tracking; 7 PBQ previews on page",2026-06-06,"Free demo up to 20 Q per run; poll off until CCNA collect script"
5,HowToNetwork,howtonetwork.com,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,training_vendor_blog,Free H5P exam walkthrough,103,2026,Full walkthrough free,After submit,Yes,Yes,No,No,[[sites/howtonetwork-ccna|howtonetwork-ccna]],"Browser timed sim + scorecard vs static walkthrough",2026-06-06,"D&D + multi-select + sim-style items; PBQ intel"
6,CertiMaan,certimaan.com,https://www.certimaan.com/post/ccna-sample-questions,training_vendor_blog,Blog sample MCQs,90+,2026,Samples on post,No,No,Yes,No,No,[[sites/certimaan-ccna|certimaan-ccna]],"Interactive timed sim vs static blog list; verified explanations",2026-06-06,"Dumps SEO elsewhere; alternate post ccna-certification-sample-questions (40+)"
7,9tut,9tut.com,https://www.9tut.com/topics/ccna-quizzes,practice_test_vendor,Free topic quizzes + premium engine,600+ premium stated,2026,Quizzes free / engine paid,Partial,Partial,Yes,No,No,[[sites/9tut|9tut]],"CLI labs + D&D in BCT; premium engine = interaction intel only",2026-06-06,"Free quizzes hub; premium engine tracked in pbq_poll on 9tut.md"
8,ExamCollection,examcollection.com,https://www.examcollection.com/200-301-dumps.html,syndicated_marketplace,Web sample + VCE bundles,719+ (syndicated),2026-05-19,Sample Q on page,Partial,No,Yes,No,No,[[sites/examcollection-ccna|examcollection-ccna]],"No dump language; Cisco-official verification",2026-06-06,"Tier C; sample MCQs on dumps landing"
9,Exam-Labs,exam-labs.com,https://www.exam-labs.com/dumps/200-301,syndicated_marketplace,VCE + 20 free sample download,719 premium,2026-05-19,20 sample Q free,Partial,No,Yes,No,No,[[sites/exam-labs-ccna|exam-labs-ccna]],"Browser-only ethical prep vs VCE desktop",2026-06-06,"Tier C; same syndicated ecosystem as PrepAway"
10,PrepAway,prepaway.com,https://www.prepaway.com/ccna-certification-exams.html,syndicated_marketplace,CCNA hub + VCE ecosystem,719+ (syndicated),2026-05-19,Limited free,Partial,No,Yes,No,No,[[sites/prepaway-ccna|prepaway-ccna]],"Full portal + labs vs dump marketplace",2026-06-06,"Tier C catalog; links ExamCollection / Exam-Labs bundles"
